se_name	cell_specific_gain	number_ce_gain	number_cancer_gain	gain_ce	number_ce_loss	number_cancer_loss	loss_ce
chr12_132760304_132773167	yes	1	2	chr12_132768664_132773167:Adult_acute_myeloid_leukemia,Lung_non_small_cell_carcinoma	0	0	none
chr12_132828241_132874553	yes	5	2	chr12_132833911_132835420:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr12_132835698_132838997:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr12_132845706_132849401:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr12_132864586_132869157:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Ovarian_endometrioid_adenocarcinoma,Ovarian_serous_cystadenocarcinoma|chr12_132872047_132874553:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr12_133078630_133081751	no	0	0	none	1	1	chr12_133078630_133081931:Anaplastic_large_cell_lymphoma__ALK_positive
chr12_133264890_133265378	no	0	0	none	0	0	none
chr12_13361999_13397469	yes	1	4	chr12_13381182_13388904:Colon_adenocarcinoma,Colon_carcinoma,Ovarian_serous_cystadenocarcinoma,Prostate_carcinoma	0	0	none
chr12_13522531_13544477	yes	2	0	chr12_13536261_13539628:Colon_adenocarcinoma,Colon_carcinoma|chr12_13541211_13544477:	0	0	none
chr12_13556711_13597022	yes	3	2	chr12_13558427_13561577:Colon_adenocarcinoma,Colon_carcinoma,Cutaneous_melanoma,Ovarian_serous_cystadenocarcinoma|chr12_13579384_13583266:Colon_carcinoma|chr12_13591050_13592807:Astrocytoma,Colon_carcinoma	0	0	none
chr12_13726776_13741336	yes	1	1	chr12_13733755_13734790:Colon_carcinoma	0	0	none
chr12_13938774_13955071	no	0	0	none	0	0	none
chr12_14238613_14268150	yes	1	1	chr12_14263998_14266040:Adult_acute_myeloid_leukemia	0	0	none
chr12_1429532_1501789	yes	3	4	chr12_1442824_1446967:Breast_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Pleural_epithelioid_mesothelioma|chr12_1462888_1464884:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Pleural_epithelioid_mesothelioma|chr12_1495925_1497777:Invasive_breast_carcinoma_of_no_special_type,Lung_large_cell_carcinoma,Ovarian_serous_cystadenocarcinoma,Pleural_epithelioid_mesothelioma	0	0	none
chr12_14355869_14420206	yes	1	2	chr12_14368823_14370909:Pleural_epithelioid_mesothelioma,Prostate_carcinoma	1	3	chr12_14382044_14393161:High_grade_ovarian_serous_adenocarcinoma,Lung_large_cell_carcinoma,Lung_non_small_cell_carcinoma
chr12_14545121_14569617	yes	1	2	chr12_14557469_14563585:Colon_carcinoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr12_14554_53720	yes	3	2	chr12_35960_39403:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Glioblastoma|chr12_39485_41308:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Colon_adenocarcinoma,Colon_carcinoma,Glioblastoma|chr12_43212_44089:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Colon_carcinoma	0	0	none
chr12_14764965_14864940	yes	2	2	chr12_14783729_14787528:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma,Plasma_cell_myeloma|chr12_14822241_14825656:Cutaneous_melanoma,Melanoma	1	1	chr12_14768682_14778399:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive
chr12_14879405_14984474	yes	2	3	chr12_14891971_14895369:Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_14922691_14925499:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr12_15107594_15281961	yes	4	1	chr12_15123652_15131167:Prostate_carcinoma|chr12_15137477_15149618:Invasive_breast_carcinoma_of_no_special_type|chr12_15190853_15201504:Breast_adenocarcinoma,Glioblastoma,Minimally_invasive_lung_adenocarcinoma|chr12_15240908_15244965:Invasive_breast_carcinoma_of_no_special_type	0	0	none
chr12_1527608_1560339	yes	6	1	chr12_1526801_1530223:Glioblastoma,Invasive_breast_carcinoma_of_no_special_type,Pleural_epithelioid_mesothelioma|chr12_1531161_1536393:Anaplastic_large_cell_lymphoma__ALK_positive,Invasive_breast_carcinoma_of_no_special_type,Plasma_cell_myeloma,Pleural_epithelioid_mesothelioma|chr12_1540468_1541599:Breast_adenocarcinoma,Colon_carcinoma|chr12_1552490_1553353:|chr12_1553414_1554448:Plasma_cell_myeloma|chr12_1554677_1555495:Plasma_cell_myeloma	0	0	none
chr12_15613602_15825043	yes	1	3	chr12_15821482_15825043:Cutaneous_melanoma,Melanoma,Minimally_invasive_lung_adenocarcinoma	1	4	chr12_15786029_15790705:Adult_T_acute_lymphoblastic_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Childhood_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma
chr12_1575479_1626412	yes	4	3	chr12_1574640_1577792:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Breast_adenocarcinoma,Invasive_breast_carcinoma_of_no_special_type,Pleural_epithelioid_mesothelioma|chr12_1581362_1583575:Papillary_renal_cell_carcinoma,Pleural_epithelioid_mesothelioma|chr12_1611088_1612997:Clear_cell_renal_cell_carcinoma,Gliosarcoma,Lung_non_small_cell_carcinoma,Pleural_epithelioid_mesothelioma|chr12_1625650_1626412:Glioblastoma,Gliosarcoma,Pleural_epithelioid_mesothelioma	2	2	chr12_1592861_1596565:Childhood_T_acute_lymphoblastic_leukemia,High_grade_ovarian_serous_adenocarcinoma,Minimally_invasive_lung_adenocarcinoma|chr12_1604230_1609584:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia
chr12_15881134_15959070	yes	2	2	chr12_15938755_15943671:Gliosarcoma,Minimally_invasive_lung_adenocarcinoma,Papillary_renal_cell_carcinoma|chr12_15949377_15951576:Glioblastoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr12_15955502_15981326	no	0	0	none	0	0	none
chr12_16346354_16360726	yes	2	1	chr12_16355976_16356794:Minimally_invasive_lung_adenocarcinoma|chr12_16357120_16357769:Minimally_invasive_lung_adenocarcinoma	1	3	chr12_16346278_16353753:Adult_T_acute_lymphoblastic_leukemia,Amelanotic_melanoma,Childhood_T_acute_lymphoblastic_leukemia
chr12_16519647_16534628	yes	1	1	chr12_16528736_16534628:Plasma_cell_myeloma	0	0	none
chr12_16558374_16613656	yes	6	2	chr12_16562445_16566491:Anaplastic_large_cell_lymphoma__ALK_positive,Prostate_carcinoma|chr12_16566790_16576295:Anaplastic_large_cell_lymphoma__ALK_positive,Prostate_carcinoma|chr12_16576294_16578577:Prostate_carcinoma|chr12_16581989_16584178:Prostate_carcinoma|chr12_16584296_16595676:Prostate_carcinoma|chr12_16595883_16601502:Anaplastic_large_cell_lymphoma__ALK_positive,Prostate_carcinoma	0	0	none
chr12_1659165_1693404	no	0	0	none	0	0	none
chr12_17137738_17143188	yes	1	1	chr12_17138768_17142208:Minimally_invasive_lung_adenocarcinoma	0	0	none
chr12_1756453_1779803	yes	1	4	chr12_1766342_1770341:Childhood_T_acute_lymphoblastic_leukemia,Colon_carcinoma,Cutaneous_melanoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr12_175814_183991	no	0	0	none	0	0	none
chr12_1795482_1815891	no	0	0	none	0	0	none
chr12_18683893_18704718	no	0	0	none	0	0	none
chr12_18746830_18753777	no	0	0	none	0	0	none
chr12_18991010_19050151	yes	2	3	chr12_19035855_19037766:Lung_non_small_cell_carcinoma|chr12_19048325_19050248:Anaplastic_large_cell_lymphoma__ALK_positive,Breast_adenocarcinoma,Lung_non_small_cell_carcinoma	0	0	none
chr12_1905718_1940088	yes	6	4	chr12_1914850_1919552:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Childhood_T_acute_lymphoblastic_leukemia|chr12_1920458_1921856:Adult_acute_myeloid_leukemia|chr12_1930170_1932712:Adult_acute_myeloid_leukemia,Cutaneous_melanoma,Melanoma|chr12_1932980_1934011:Adult_acute_myeloid_leukemia|chr12_1935984_1936522:|chr12_1939655_1940228:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia	0	0	none
chr12_19119191_19140749	yes	3	2	chr12_19119953_19122889:Clear_cell_renal_cell_carcinoma|chr12_19123740_19127170:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_19140025_19141894:Clear_cell_renal_cell_carcinoma,Papillary_renal_cell_carcinoma	1	3	chr12_19129669_19133457:Amelanotic_melanoma,Ovarian_serous_cystadenocarcinoma,Plasma_cell_myeloma
chr12_19197060_19249882	yes	3	4	chr12_19207989_19210965:Amelanotic_melanoma,Glioblastoma,Gliosarcoma,Melanoma|chr12_19230225_19231285:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_19248603_19250458:Amelanotic_melanoma,Clear_cell_renal_cell_carcinoma,Cutaneous_melanoma,Lung_large_cell_carcinoma	0	0	none
chr12_19429887_19450494	yes	1	1	chr12_19446321_19449076:Cutaneous_melanoma	0	0	none
chr12_19793367_19801080	yes	1	1	chr12_19793367_19795691:Melanoma	0	0	none
chr12_19846039_19863522	yes	1	1	chr12_19857955_19859256:Amelanotic_melanoma	0	0	none
chr12_19861052_19917986	yes	4	2	chr12_19866721_19870712:Lung_large_cell_carcinoma,Minimally_invasive_lung_adenocarcinoma|chr12_19881504_19888778:Gliosarcoma,Lung_large_cell_carcinoma|chr12_19907781_19910449:Adult_acute_myeloid_leukemia,Lung_large_cell_carcinoma|chr12_19914606_19917986:Cutaneous_melanoma,Lung_large_cell_carcinoma	0	0	none
chr12_1992382_2018585	yes	3	1	chr12_1997923_1999202:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_2006974_2010268:Anaplastic_large_cell_lymphoma__ALK_positive,Glioblastoma|chr12_2016799_2018585:Anaplastic_large_cell_lymphoma__ALK_positive	0	0	none
chr12_19963991_20005416	yes	4	3	chr12_19963991_19966028:Cutaneous_melanoma,Pleural_epithelioid_mesothelioma|chr12_19984957_19989611:Gliosarcoma,Lung_adenocarcinoma,Lung_large_cell_carcinoma|chr12_19991010_19993826:Lung_large_cell_carcinoma,Minimally_invasive_lung_adenocarcinoma|chr12_19996955_20001924:Cutaneous_melanoma,Lung_large_cell_carcinoma,Melanoma	0	0	none
chr12_20471839_20530063	yes	5	4	chr12_20471839_20472626:|chr12_20473142_20476057:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_20486159_20488487:Cutaneous_melanoma,Glioblastoma,Lung_adenocarcinoma,Melanoma|chr12_20507079_20509990:|chr12_20523862_20530063:Cutaneous_melanoma,Lung_adenocarcinoma,Lung_large_cell_carcinoma,Melanoma	0	0	none
chr12_20545337_20602985	yes	6	4	chr12_20547195_20549218:Cutaneous_melanoma,Lung_large_cell_carcinoma|chr12_20554983_20562659:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_20570594_20572225:Cutaneous_melanoma,Melanoma|chr12_20572325_20574367:Cutaneous_melanoma,Melanoma|chr12_20576852_20579022:Cutaneous_melanoma|chr12_20583796_20591023:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma,Plasma_cell_myeloma	0	0	none
chr12_20810682_20841381	no	0	0	none	0	0	none
chr12_21414892_21438807	yes	1	0	chr12_21427493_21429169:	0	0	none
chr12_22100678_22119868	yes	1	4	chr12_22115161_22119868:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr12_22222249_22288932	yes	4	3	chr12_22237787_22239446:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_22249190_22253416:Cutaneous_melanoma,Melanoma|chr12_22253400_22257699:Cutaneous_melanoma,Melanoma,Plasma_cell_myeloma|chr12_22261095_22264603:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr12_22311755_22336161	no	0	0	none	0	0	none
chr12_22408219_22443542	no	0	0	none	0	0	none
chr12_2242508_2310169	yes	5	2	chr12_2248322_2251675:Anaplastic_large_cell_lymphoma__ALK_positive,Glioblastoma,Gliosarcoma|chr12_2258405_2260661:Adult_acute_myeloid_leukemia,Gliosarcoma,Pleural_epithelioid_mesothelioma|chr12_2285885_2291027:Adult_acute_myeloid_leukemia|chr12_2300966_2304762:Adult_acute_myeloid_leukemia,Glioblastoma,Gliosarcoma,Invasive_breast_carcinoma_of_no_special_type|chr12_2305109_2307663:Adult_acute_myeloid_leukemia,Gliosarcoma	0	0	none
chr12_22522499_22545111	no	0	0	none	0	0	none
chr12_22623698_22631829	no	0	0	none	0	0	none
chr12_22709482_22733363	yes	2	4	chr12_22709482_22710318:Cutaneous_melanoma,Melanoma|chr12_22720292_22724747:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr12_22729794_22748707	yes	1	1	chr12_22748000_22748707:Astrocytoma	0	0	none
chr12_22766370_22798690	yes	3	2	chr12_22766370_22767635:Cutaneous_melanoma,Melanoma|chr12_22767743_22769571:Cutaneous_melanoma,Melanoma|chr12_22786257_22789352:Cutaneous_melanoma,Melanoma	0	0	none
chr12_22969538_22976946	no	0	0	none	0	0	none
chr12_2323079_2367083	no	0	0	none	0	0	none
chr12_23855302_23891299	yes	3	4	chr12_23855260_23856769:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_23860723_23865422:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_23884752_23889786:Amelanotic_melanoma,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Cutaneous_melanoma,Melanoma	0	0	none
chr12_23884866_23951859	yes	6	2	chr12_23884752_23889786:Amelanotic_melanoma,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Cutaneous_melanoma,Melanoma|chr12_23892774_23896525:Astrocytoma,Glioblastoma,Gliosarcoma,Minimally_invasive_lung_adenocarcinoma|chr12_23904641_23907425:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_23907520_23911889:Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_23926780_23928471:|chr12_23928986_23931138:Cutaneous_melanoma,Melanoma	0	0	none
chr12_24014257_24112273	yes	8	4	chr12_24019032_24026210:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma,Minimally_invasive_lung_adenocarcinoma|chr12_24032559_24036686:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_24044879_24047681:Amelanotic_melanoma,Clear_cell_renal_cell_carcinoma,Gliosarcoma,Melanoma|chr12_24061682_24063866:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_24068924_24071287:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_24080502_24082714:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_24098714_24101449:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_24109741_24114381:Anaplastic_large_cell_lymphoma__ALK_positive,Astrocytoma,Melanoma,Pleural_epithelioid_mesothelioma	0	0	none
chr12_24130153_24135656	yes	1	0	chr12_24130153_24135656:	0	0	none
chr12_24196526_24200273	yes	1	4	chr12_24196526_24202070:Astrocytoma,Glioblastoma,Gliosarcoma,Renal_cell_carcinoma	0	0	none
chr12_24215624_24248642	yes	2	4	chr12_24233349_24235246:Breast_adenocarcinoma,Minimally_invasive_lung_adenocarcinoma|chr12_24244975_24248760:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr12_24454929_24523008	yes	4	2	chr12_24454929_24456553:Cutaneous_melanoma|chr12_24465985_24468632:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_24483078_24485633:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_24507978_24513217:Cutaneous_melanoma,Melanoma	0	0	none
chr12_24599794_24619467	yes	1	2	chr12_24607572_24610082:Amelanotic_melanoma,Melanoma	0	0	none
chr12_24695799_24780257	yes	2	4	chr12_24702819_24713336:Anaplastic_large_cell_lymphoma__ALK_positive,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Plasma_cell_myeloma,Pleural_epithelioid_mesothelioma|chr12_24777099_24780257:Anaplastic_large_cell_lymphoma__ALK_positive,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr12_24777219_24804704	yes	6	3	chr12_24777099_24780257:Anaplastic_large_cell_lymphoma__ALK_positive,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_24791640_24793254:Cutaneous_melanoma,Melanoma|chr12_24795258_24796697:Adult_T_acute_lymphoblastic_leukemia,Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia,Clear_cell_renal_cell_carcinoma|chr12_24796802_24797298:|chr12_24797501_24799146:Adult_T_acute_lymphoblastic_leukemia|chr12_24802606_24805295:Adult_T_acute_lymphoblastic_leukemia,Cutaneous_melanoma,Melanoma	0	0	none
chr12_24820923_24867338	no	0	0	none	0	0	none
chr12_24935886_24949987	yes	1	1	chr12_24937025_24938642:Pleural_epithelioid_mesothelioma	0	0	none
chr12_25050763_25054929	no	0	0	none	0	0	none
chr12_25070054_25075070	yes	2	1	chr12_25070054_25072819:Minimally_invasive_lung_adenocarcinoma|chr12_25072990_25075070:Minimally_invasive_lung_adenocarcinoma	0	0	none
chr12_25383574_25388514	no	0	0	none	0	0	none
chr12_25454782_25460544	no	0	0	none	0	0	none
chr12_25795748_25818329	yes	2	1	chr12_25799785_25801953:Cutaneous_melanoma,Minimally_invasive_lung_adenocarcinoma|chr12_25814739_25818329:Anaplastic_large_cell_lymphoma__ALK_positive	0	0	none
chr12_25956574_26042657	yes	2	4	chr12_25966887_25972322:Prostate_carcinoma|chr12_25984373_25987676:Amelanotic_melanoma,Cutaneous_melanoma,Gliosarcoma,Melanoma	0	0	none
chr12_26091621_26136501	yes	2	3	chr12_26100090_26101456:Breast_adenocarcinoma,Colon_adenocarcinoma,Minimally_invasive_lung_adenocarcinoma|chr12_26116511_26118826:Ovarian_serous_cystadenocarcinoma,Plasma_cell_myeloma,Pleural_epithelioid_mesothelioma	0	0	none
chr12_26150173_26155046	no	0	0	none	0	0	none
chr12_26226264_26300214	no	0	0	none	0	0	none
chr12_26315726_26321078	no	0	0	none	0	0	none
chr12_26336036_26342291	no	0	0	none	0	0	none
chr12_26622634_26651713	yes	2	2	chr12_26625841_26627814:Anaplastic_large_cell_lymphoma__ALK_positive,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr12_26640692_26645583:Clear_cell_renal_cell_carcinoma,Papillary_renal_cell_carcinoma	0	0	none
chr12_26741109_26749952	yes	1	0	chr12_26739414_26743160:	0	0	none
chr12_26786289_26833930	yes	2	4	chr12_26797448_26800775:Plasma_cell_myeloma|chr12_26815895_26819049:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma,Plasma_cell_myeloma	1	2	chr12_26831854_26835329:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,High_grade_ovarian_serous_adenocarcinoma
chr12_26831961_26885065	yes	3	2	chr12_26842058_26844525:Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr12_26845121_26847228:Childhood_T_acute_lymphoblastic_leukemia,Pleural_epithelioid_mesothelioma|chr12_26874436_26877954:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia	1	2	chr12_26831854_26835329:Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,High_grade_ovarian_serous_adenocarcinoma
chr12_26916391_26922113	no	0	0	none	0	0	none
chr12_27002883_27023225	no	0	0	none	0	0	none
chr12_27176458_27195079	yes	1	4	chr12_27189667_27195079:Glioblastoma,Gliosarcoma,Lung_large_cell_carcinoma,Prostate_carcinoma	0	0	none
chr12_27271755_27292339	yes	3	2	chr12_27281269_27282357:|chr12_27283817_27286421:Glioblastoma,Gliosarcoma|chr12_27288764_27292339:Cutaneous_melanoma,Melanoma	0	0	none
chr12_27315064_27367596	yes	2	1	chr12_27315064_27318151:Prostate_carcinoma|chr12_27360219_27361514:Gliosarcoma	0	0	none
chr12_27493105_27654182	yes	1	3	chr12_27496879_27499991:Anaplastic_large_cell_lymphoma__ALK_positive,Cutaneous_melanoma,Gliosarcoma	1	1	chr12_27520532_27526860:Childhood_T_acute_lymphoblastic_leukemia
chr12_27813311_27844571	yes	3	4	chr12_27827273_27829609:Amelanotic_melanoma,Cutaneous_melanoma,Lung_non_small_cell_carcinoma,Melanoma|chr12_27837786_27839442:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma|chr12_27839395_27843066:Colon_adenocarcinoma,Cutaneous_melanoma,Gliosarcoma,Melanoma	0	0	none
chr12_27863679_27869922	no	0	0	none	0	0	none
chr12_27963257_27989548	yes	1	4	chr12_27972979_27976713:Colon_carcinoma,Lung_non_small_cell_carcinoma,Papillary_renal_cell_carcinoma,Prostate_carcinoma	0	0	none
chr12_28019273_28036468	no	0	0	none	0	0	none
chr12_28056541_28090626	yes	4	4	chr12_28064158_28069005:Anaplastic_large_cell_lymphoma__ALK_positive,Gliosarcoma|chr12_28077904_28081018:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_28083154_28084525:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_28085646_28090348:Anaplastic_large_cell_lymphoma__ALK_positive,Glioblastoma,Gliosarcoma,Minimally_invasive_lung_adenocarcinoma	0	0	none
chr12_28129934_28133148	no	0	0	none	0	0	none
chr12_28189506_28192631	no	0	0	none	0	0	none
chr12_28220882_28257249	yes	5	1	chr12_28220882_28225680:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_28234403_28236106:Anaplastic_large_cell_lymphoma__ALK_positive,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive|chr12_28240620_28243526:Amelanotic_melanoma,Blast_phase_chronic_myelogenous_leukemia__BCR_ABL1_positive,Cutaneous_melanoma|chr12_28254619_28255658:Anaplastic_large_cell_lymphoma__ALK_positive|chr12_28256082_28257249:Anaplastic_large_cell_lymphoma__ALK_positive	0	0	none
chr12_28601526_28623097	yes	1	3	chr12_28621053_28623455:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr12_2875138_2905059	yes	1	1	chr12_2904529_2905059:Papillary_renal_cell_carcinoma	0	0	none
chr12_28766247_28796249	no	0	0	none	0	0	none
chr12_28856865_28871800	yes	1	2	chr12_28856563_28858491:Amelanotic_melanoma,Cutaneous_melanoma	0	0	none
chr12_29032687_29046460	yes	2	1	chr12_29032687_29033537:Gliosarcoma,Prostate_carcinoma|chr12_29033788_29034569:Prostate_carcinoma	0	0	none
chr12_29148225_29171780	no	0	0	none	0	0	none
chr12_29195657_29217644	yes	4	4	chr12_29198170_29202987:Childhood_T_acute_lymphoblastic_leukemia|chr12_29206011_29211093:Adult_acute_myeloid_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr12_29211534_29214029:Anaplastic_large_cell_lymphoma__ALK_positive,Childhood_T_acute_lymphoblastic_leukemia|chr12_29215825_29218534:Adult_acute_myeloid_leukemia,Childhood_T_acute_lymphoblastic_leukemia,Cutaneous_melanoma,Gliosarcoma	0	0	none
chr12_29378771_29382246	no	0	0	none	0	0	none
chr12_29546094_29584250	yes	6	3	chr12_29546094_29548445:Glioblastoma,Prostate_carcinoma|chr12_29552608_29554659:Cutaneous_melanoma,Melanoma,Prostate_carcinoma|chr12_29558651_29564502:Glioblastoma,Lung_non_small_cell_carcinoma,Ovarian_endometrioid_adenocarcinoma,Prostate_carcinoma|chr12_29564731_29568434:Lung_non_small_cell_carcinoma,Prostate_carcinoma|chr12_29569637_29570822:Glioblastoma,Prostate_carcinoma|chr12_29578070_29584250:Anaplastic_large_cell_lymphoma__ALK_positive,Glioblastoma,Prostate_carcinoma	0	0	none
chr12_29740107_29745436	no	0	0	none	0	0	none
chr12_3053602_3077286	yes	3	0	chr12_3053602_3056917:Cutaneous_melanoma,Melanoma|chr12_3065137_3066904:Cutaneous_melanoma|chr12_3073602_3073972:	0	0	none
chr12_30687397_30738730	yes	2	4	chr12_30690022_30693465:Clear_cell_renal_cell_carcinoma,Lung_non_small_cell_carcinoma,Papillary_renal_cell_carcinoma,Prostate_carcinoma|chr12_30729600_30734492:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma	0	0	none
chr12_3076219_3131141	yes	2	3	chr12_3106594_3108153:Gliosarcoma,Invasive_breast_carcinoma_of_no_special_type,Renal_cell_carcinoma|chr12_3124722_3127218:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma	0	0	none
chr12_30792283_30797892	no	0	0	none	0	0	none
chr12_30988736_31008158	yes	2	3	chr12_30988342_30990249:Plasma_cell_myeloma|chr12_30999677_31003093:Glioblastoma,Pleural_epithelioid_mesothelioma,Prostate_carcinoma	0	0	none
chr12_31072763_31081444	no	0	0	none	0	0	none
chr12_31097265_31118751	yes	1	4	chr12_31093831_31101329:Amelanotic_melanoma,Cutaneous_melanoma,Melanoma,Plasma_cell_myeloma	0	0	none
chr12_31314559_31340405	no	0	0	none	0	0	none
chr12_31353838_31372576	yes	1	2	chr12_31353838_31356549:Colon_adenocarcinoma,Colon_carcinoma	0	0	none
chr12_31466365_31534558	no	0	0	none	0	0	none
chr12_31570764_31595786	yes	3	0	chr12_31578379_31579684:Papillary_renal_cell_carcinoma,Renal_cell_carcinoma|chr12_31581352_31582464:Pleural_epithelioid_mesothelioma|chr12_31594593_31595798:	1	2	chr12_31587731_31591013:Childhood_T_acute_lymphoblastic_leukemia,Plasma_cell_myeloma
chr12_31704589_31821014	yes	2	4	chr12_31802114_31805505:Adult_T_acute_lymphoblastic_leukemia,Ovarian_serous_cystadenocarcinoma|chr12_31818326_31821938:Clear_cell_renal_cell_carcinoma,Minimally_invasive_lung_adenocarcinoma,Ovarian_serous_cystadenocarcinoma,Pleural_epithelioid_mesothelioma	0	0	none
chr12_31874393_31908948	yes	2	2	chr12_31889531_31892911:Adult_acute_myeloid_leukemia,Adult_T_acute_lymphoblastic_leukemia,Childhood_T_acute_lymphoblastic_leukemia|chr12_31905381_31908948:Adult_acute_myeloid_leukemia,Plasma_cell_myeloma	0	0	none
chr12_31947505_31971001	yes	3	2	chr12_31947505_31950840:|chr12_31951654_31954949:Amelanotic_melanoma,Cutaneous_melanoma,Glioblastoma,Melanoma|chr12_31964724_31965826:Ovarian_endometrioid_adenocarcinoma,Ovarian_serous_cystadenocarcinoma	1	1	chr12_31955187_31964501:Breast_adenocarcinoma
