se_name	cell_specific_gain	number_ce_gain	number_cell_gain	gain_ce	number_ce_loss	number_cell_loss	loss_ce
chr15_33083245_33161843	no	0	0	none	0	0	none
chr15_33277935_33280844	no	0	0	none	0	0	none
chr15_34037898_34058276	no	0	0	none	1	3	chr15_34037718_34041033:CCRF-CEM,MDA-MB-231,OVCAR-5
chr15_34641750_34669695	yes	6	1	chr15_34643647_34645303:HOP-92,HS_578T,LOX_IMVI,NCI-H226,SK-MEL-2,SK-MEL-28,SR|chr15_34645381_34648852:K-562|chr15_34649614_34651103:K-562,SK-MEL-5|chr15_34651389_34657082:K-562|chr15_34657244_34661088:K-562|chr15_34665606_34666315:K-562	0	0	none
chr15_34795008_34818455	yes	4	1	chr15_34795008_34795915:EKVX,NCI-H226,NCI-H460,SN12C|chr15_34798968_34801611:EKVX,HS_578T,K-562,NCI_ADR-RES,NCI-H460,OVCAR-3,OVCAR-4,SN12C,SNB-75|chr15_34802861_34805794:EKVX,MALME-3M,OVCAR-3,OVCAR-4,SK-MEL-2,SK-MEL-5,SNB-75|chr15_34815059_34816417:LOX_IMVI	0	0	none
chr15_35291559_35310247	yes	2	8	chr15_35291559_35292107:OVCAR-5|chr15_35292263_35295473:A498,CAKI-1,HOP-92,NCI-H322M,OVCAR-5,TK-10,U251,UACC-62	0	0	none
chr15_35476182_35509597	yes	6	6	chr15_35480957_35482911:A549,DU-145,EKVX,HOP-92,NCI-H322M,NCI-H460,TK-10|chr15_35489984_35490637:MALME-3M|chr15_35491885_35493379:EKVX,HCC-2998,IGROV1,KM12,OVCAR-5|chr15_35493595_35497380:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_35498981_35501037:OVCAR-5|chr15_35507871_35509598:LOX_IMVI,MALME-3M,NCI-H460,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr15_35539675_35558079	yes	3	5	chr15_35539634_35540076:U251|chr15_35540279_35541614:SF-268,SF-539,SNB-19,U251|chr15_35543513_35544136:K-562,LOX_IMVI,MALME-3M,SF-539,SK-MEL-5	1	1	chr15_35544658_35549425:MDA-MB-231
chr15_35690661_35738730	yes	3	10	chr15_35689666_35694278:EKVX,HOP-62,HS_578T,NCI-H226,NCI-H322M,SF-268,SK-MEL-28,UACC-62|chr15_35727310_35729597:EKVX,HOP-62,MDA-MB-468,NCI-H322M,OVCAR-3,OVCAR-5|chr15_35732974_35734976:KM12,M14,MALME-3M,MDA-MB-435,NCI-H322M,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr15_36356534_36376454	no	0	0	none	0	0	none
chr15_36400949_36433447	yes	1	10	chr15_36413643_36416573:A498,CAKI-1,DU-145,HOP-62,HS_578T,LOX_IMVI,RXF_393,SNB-19,SR,X786-0	0	0	none
chr15_36494467_36509609	yes	5	5	chr15_36494269_36495993:NCI-H23,NCI-H460,OVCAR-5,SF-539,SNB-19|chr15_36496074_36499279:A549,KM12,NCI-H522,OVCAR-5,SF-268,SF-295,SF-539,SN12C,SNB-19,U251|chr15_36499493_36500471:NCI-H322M,NCI-H460,OVCAR-5,SF-268,SF-295,SF-539,SNB-19,U251|chr15_36502715_36503247:OVCAR-5|chr15_36504451_36508599:HT29,KM12,NCI-H322M,NCI-H522,OVCAR-5	0	0	none
chr15_36783591_36815596	yes	5	5	chr15_36790161_36791105:NCI-H322M|chr15_36796749_36799917:A498,A549,ACHN,EKVX,HOP-62,HS_578T,HT29,OVCAR-5,PC-3,SF-268,SN12C|chr15_36803434_36804028:NCI-H322M,OVCAR-5|chr15_36806536_36810929:A498,A549,HT29,NCI-H322M,OVCAR-5|chr15_36814000_36815612:A549,EKVX,HT29,NCI-H322M,OVCAR-5	0	0	none
chr15_36884728_36914627	yes	6	5	chr15_36887417_36888201:HOP-92,K-562,NCI-H226,OVCAR-3,OVCAR-5,U251|chr15_36896555_36899464:COLO_205,HT29,K-562,OVCAR-5|chr15_36900489_36901575:OVCAR-3,OVCAR-5,SK-OV-3|chr15_36901787_36907717:COLO_205,EKVX,HT29,KM12,MDA-MB-468,NCI-H226,NCI-H322M,OVCAR-3,OVCAR-5|chr15_36911188_36912410:COLO_205,EKVX,HT29,KM12,NCI-H226,NCI-H322M,OVCAR-5|chr15_36912767_36914627:COLO_205,EKVX,NCI-H226,NCI-H322M,OVCAR-5	0	0	none
chr15_37055754_37060553	no	0	0	none	0	0	none
chr15_37079400_37134264	yes	3	8	chr15_37079184_37083587:KM12,NCI-H226,SK-MEL-5,SR|chr15_37085192_37088202:M14,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr15_37106557_37111864:COLO_205,HOP-92,HT29,K-562,NCI-H226,OVCAR-5,SF-268,SF-539	1	4	chr15_37093064_37103996:CCRF-CEM,MCF7,MOLT-4,OVCAR-4
chr15_37764428_37792473	yes	3	4	chr15_37767967_37768862:HOP-62,HOP-92,LOX_IMVI|chr15_37787902_37791226:A498,CAKI-1,HOP-92,LOX_IMVI,NCI_ADR-RES,OVCAR-5,OVCAR-8,RXF_393,SF-268,UO-31,X786-0|chr15_37791805_37792473:HOP-92,LOX_IMVI,NCI-H322M,RXF_393	0	0	none
chr15_38035270_38104017	yes	3	4	chr15_38047733_38051587:CAKI-1,LOX_IMVI,RXF_393,SR|chr15_38051755_38054979:LOX_IMVI,SR|chr15_38083295_38088121:HOP-92,RPMI-8226,SK-MEL-28,SR	1	11	chr15_38067853_38076482:BT-549,CCRF-CEM,DU-145,HL-60,K-562,MCF7,MOLT-4,NCI-H522,OVCAR-4,OVCAR-8,SN12C
chr15_38187221_38232552	yes	4	8	chr15_38193267_38199594:M14,MALME-3M,MDA-MB-435,PC-3,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,SW-620,UACC-257,UACC-62|chr15_38200455_38203288:M14,MALME-3M,MDA-MB-435,PC-3,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr15_38205614_38209304:M14,MALME-3M,MDA-MB-435,NCI-H226,SK-MEL-2,SK-MEL-28,UACC-257|chr15_38211994_38214673:A549,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	0	0	none
chr15_38251641_38254754	no	0	0	none	1	2	chr15_38250294_38258594:MCF7,SNB-75
chr15_38527699_38564592	yes	6	12	chr15_38534285_38536372:HOP-62,HS_578T,NCI-H226,RXF_393|chr15_38536555_38538844:A498,HOP-62,HS_578T,NCI-H226,RXF_393,SF-268|chr15_38548748_38549317:HS_578T,RXF_393|chr15_38549476_38550276:HS_578T,LOX_IMVI,RXF_393|chr15_38553277_38554469:RXF_393|chr15_38562593_38564673:CCRF-CEM,EKVX,HCT-15,HS_578T,MOLT-4,NCI-H226,OVCAR-3,RXF_393,SK-MEL-2,SK-MEL-5,SK-OV-3,TK-10	0	0	none
chr15_38609128_38700565	yes	5	3	chr15_38634867_38644067:CCRF-CEM,MOLT-4|chr15_38647011_38649680:MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-5,UACC-257,UACC-62|chr15_38649902_38653042:CCRF-CEM,MOLT-4,RXF_393,TK-10|chr15_38653199_38654802:MOLT-4|chr15_38694522_38699349:CCRF-CEM,MOLT-4,SR	0	0	none
chr15_38708410_38721687	yes	2	5	chr15_38708057_38709565:ACHN,EKVX,NCI-H226,RXF_393,SF-539,SN12C,SNB-19,T-47D|chr15_38721148_38721726:HS_578T,NCI-H226,SF-268,SF-539,SN12C	0	0	none
chr15_38842921_38904802	yes	3	1	chr15_38872622_38877562:A549,EKVX,MDA-MB-468,T-47D|chr15_38877739_38880909:EKVX,HS_578T,T-47D|chr15_38902013_38903911:SK-MEL-2	0	0	none
chr15_38988847_38998796	no	0	0	none	0	0	none
chr15_39074298_39089065	yes	2	3	chr15_39081217_39082004:ACHN,EKVX,RXF_393|chr15_39083293_39086828:EKVX,SF-295,X786-0	0	0	none
chr15_39101843_39318436	yes	1	8	chr15_39152204_39157519:EKVX,HCC-2998,HOP-92,HS_578T,HT29,OVCAR-5,PC-3,SF-539	1	10	chr15_39123594_39143389:CCRF-CEM,HL-60,MCF7,MDA-MB-435,MOLT-4,NCI-H23,NCI-H522,RPMI-8226,SK-MEL-5,UACC-257
chr15_39390215_39443724	yes	4	2	chr15_39390215_39392931:CAKI-1,EKVX,HOP-92,MDA-MB-468,NCI-H226,SK-MEL-28|chr15_39393141_39395485:COLO_205,EKVX,HCC-2998,HCT-15,SW-620|chr15_39400122_39401512:HOP-92,HS_578T|chr15_39433728_39436171:COLO_205,SW-620	0	0	none
chr15_39578316_39688087	no	0	0	none	1	9	chr15_39578316_39583505:CCRF-CEM,HL-60,IGROV1,K-562,KM12,NCI-H522,RPMI-8226,SK-MEL-5,SR
chr15_39907633_39942697	no	0	0	none	1	5	chr15_39917328_39921991:CCRF-CEM,KM12,MOLT-4,NCI-H322M,SR
chr15_40037731_40119802	yes	1	9	chr15_40114106_40117531:CCRF-CEM,HL-60,MOLT-4,OVCAR-4,RPMI-8226,SK-OV-3,SW-620,T-47D,X786-0	2	8	chr15_40037689_40040608:MDA-MB-231|chr15_40094834_40102227:BT-549,HCC-2998,MDA-MB-231,MOLT-4,NCI_ADR-RES,NCI-H522,OVCAR-8,U251
chr15_40330470_40352173	yes	3	4	chr15_40326931_40331121:ACHN,HOP-92,K-562,MALME-3M,RPMI-8226,SF-539,SK-MEL-28,SNB-75,UACC-62|chr15_40333178_40335723:HL-60,K-562,MOLT-4,RPMI-8226,SR,T-47D|chr15_40346467_40350772:COLO_205,HCC-2998,HT29,KM12	1	6	chr15_40336985_40341585:BT-549,CCRF-CEM,MOLT-4,NCI-H522,RPMI-8226,SR
chr15_40563891_40598621	no	0	0	none	2	2	chr15_40563818_40566249:MALME-3M,MDA-MB-231|chr15_40568504_40570435:HS_578T,OVCAR-8
chr15_40747571_40907579	yes	2	1	chr15_40775374_40778813:A498,HOP-92,HT29,MDA-MB-468,NCI-H322M,OVCAR-3,OVCAR-5,RPMI-8226,T-47D|chr15_40900383_40904080:HL-60	0	0	none
chr15_40970297_41002628	yes	3	8	chr15_40970297_40973276:HCT-15,HT29,M14,MALME-3M,NCI-H226,OVCAR-5,PC-3,SK-MEL-28,SK-MEL-5,T-47D,UACC-257|chr15_40982099_40986266:HOP-62,HS_578T,LOX_IMVI,NCI-H226,SF-268,SF-539,SN12C,UACC-257,UO-31|chr15_40989554_40993244:M14,MALME-3M,MDA-MB-435,SF-539,SK-MEL-28,SNB-75,UACC-257,UACC-62	0	0	none
chr15_41114726_41136251	yes	1	3	chr15_41124882_41127921:COLO_205,OVCAR-5,SW-620	0	0	none
chr15_41248187_41292030	yes	3	9	chr15_41263328_41265154:A549,EKVX,HCC-2998,IGROV1,NCI-H226,NCI-H460,OVCAR-5|chr15_41276226_41279254:EKVX,HCC-2998,HL-60,HT29,NCI-H322M,NCI-H460,OVCAR-5|chr15_41279400_41282525:A498,EKVX,HL-60,HT29,LOX_IMVI,NCI_ADR-RES,NCI-H460,PC-3,SF-539	0	0	none
chr15_41473434_41496983	yes	2	3	chr15_41486653_41488579:CAKI-1,COLO_205,RXF_393,SK-OV-3,TK-10,X786-0|chr15_41493865_41496983:COLO_205,K-562,MDA-MB-231	1	11	chr15_41488667_41493813:HL-60,MALME-3M,MDA-MB-468,NCI-H322M,OVCAR-4,OVCAR-5,RPMI-8226,SK-MEL-5,SNB-75,T-47D,UACC-62
chr15_41772574_41797781	yes	1	6	chr15_41795770_41797781:HOP-92,M14,MALME-3M,MDA-MB-435,SK-MEL-28,UACC-257	1	1	chr15_41773028_41775704:OVCAR-8
chr15_41828115_41839661	yes	2	10	chr15_41831167_41834758:COLO_205,HCC-2998,HT29,KM12,MDA-MB-435,MDA-MB-468,NCI-H322M,OVCAR-4,OVCAR-5,SK-MEL-5,SK-OV-3|chr15_41837633_41839815:COLO_205,HCC-2998,HCT-15,HT29,KM12,MCF7,MDA-MB-468,NCI-H322M,OVCAR-5,T-47D	1	4	chr15_41828059_41829338:CCRF-CEM,MDA-MB-231,NCI_ADR-RES,OVCAR-8
chr15_41912151_41973906	yes	1	7	chr15_41949066_41951908:ACHN,CAKI-1,IGROV1,NCI_ADR-RES,OVCAR-8,SK-OV-3,SN12C	2	2	chr15_41920226_41948937:CCRF-CEM,HL-60,K-562,MDA-MB-468,NCI-H23,NCI-H522,RPMI-8226,SK-MEL-5|chr15_41966138_41974939:CCRF-CEM,HS_578T
chr15_42264817_42277197	no	0	0	none	0	0	none
chr15_42316758_42330258	yes	4	8	chr15_42316502_42317039:MALME-3M|chr15_42317609_42321987:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_42324232_42324821:MALME-3M|chr15_42328460_42330643:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62	0	0	none
chr15_42385085_42426393	yes	2	9	chr15_42400968_42408795:HCT-116,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr15_42418102_42422715:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	0	0	none
chr15_42455114_42471598	yes	2	3	chr15_42463489_42464146:MALME-3M|chr15_42471011_42471704:M14,MALME-3M,SK-MEL-2	0	0	none
chr15_42490157_42512067	yes	1	9	chr15_42509811_42512067:A498,ACHN,CAKI-1,HL-60,HOP-62,HS_578T,NCI-H226,SF-268,SK-OV-3	1	1	chr15_42493448_42497030:CCRF-CEM
chr15_43104312_43135031	no	0	0	none	2	9	chr15_43104118_43107198:HS_578T|chr15_43131836_43135031:BT-549,CCRF-CEM,HOP-62,NCI_ADR-RES,NCI-H23,NCI-H522,OVCAR-8,SK-MEL-28,UO-31
chr15_43230362_43260213	yes	1	5	chr15_43229272_43231626:HL-60,K-562,MDA-MB-435,NCI-H226,SK-MEL-2	0	0	none
chr15_43316625_43331368	yes	1	1	chr15_43324510_43325412:SR	0	0	none
chr15_43776429_43832758	yes	1	7	chr15_43794057_43795337:A498,HOP-92,MCF7,SF-539,SK-MEL-28,T-47D,X786-0	2	1	chr15_43774568_43778388:MDA-MB-231,SR|chr15_43796568_43801728:SNB-75
chr15_43896942_43918466	yes	1	4	chr15_43899490_43901122:IGROV1,K-562,NCI-H460,SK-MEL-2	0	0	none
chr15_44066021_44117729	yes	2	6	chr15_44074489_44076509:HOP-62,HS_578T,NCI-H226,NCI-H322M,SF-268,SK-MEL-28,SN12C,SNB-19,SNB-75,UACC-257,UACC-62|chr15_44091338_44093540:CAKI-1,NCI-H226,OVCAR-3,OVCAR-4,SNB-19,UACC-62	0	0	none
chr15_44137071_44220323	no	0	0	none	0	0	none
chr15_44287111_44301002	yes	1	3	chr15_44299521_44301232:HL-60,OVCAR-5,RPMI-8226	0	0	none
chr15_44425882_44441959	yes	1	4	chr15_44440748_44441998:HL-60,K-562,NCI-H522,OVCAR-5	0	0	none
chr15_44535998_44538204	no	0	0	none	0	0	none
chr15_44706981_44739548	yes	1	6	chr15_44734505_44736632:CCRF-CEM,HL-60,K-562,RXF_393,SF-539,SR	2	1	chr15_44709560_44713875:HS_578T|chr15_44719015_44731601:MDA-MB-231
chr15_44783739_44784919	no	0	0	none	1	6	chr15_44782841_44785517:MCF7,MDA-MB-231,MDA-MB-468,NCI-H322M,RPMI-8226,T-47D
chr15_44811058_44839947	yes	3	5	chr15_44811058_44814240:COLO_205,HCC-2998,HCT-15,HT29,OVCAR-5,SW-620|chr15_44817284_44822856:K-562,MDA-MB-468,NCI-H226|chr15_44824304_44827600:CCRF-CEM,COLO_205,HCC-2998,HT29,OVCAR-5	0	0	none
chr15_45162437_45201612	no	0	0	none	1	5	chr15_45165577_45168178:DU-145,KM12,RPMI-8226,SF-295,UACC-62
chr15_45430472_45458212	yes	2	8	chr15_45437677_45438603:HOP-62,NCI-H226|chr15_45438753_45440732:COLO_205,HCC-2998,HOP-62,HT29,NCI-H226,NCI-H460,OVCAR-4,RXF_393	1	3	chr15_45453648_45459013:HL-60,K-562,NCI-H522
chr15_45586268_45588853	no	0	0	none	0	0	none
chr15_45630401_45678703	yes	1	6	chr15_45663950_45665696:A498,RXF_393,SF-539,SK-MEL-28,SR,X786-0	1	2	chr15_45634228_45643814:K-562,OVCAR-8
chr15_46702883_46717429	yes	2	2	chr15_46702883_46705199:RPMI-8226,SK-MEL-2|chr15_46707736_46717429:LOX_IMVI,RPMI-8226	0	0	none
chr15_46871029_46898733	yes	4	6	chr15_46871029_46874108:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_46878072_46881111:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_46890922_46894236:EKVX,LOX_IMVI,M14,MALME-3M,MDA-MB-435,NCI-H23,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_46896703_46898766:LOX_IMVI,M14,MALME-3M,MDA-MB-435,SK-MEL-28,UACC-257	0	0	none
chr15_47412388_47440512	yes	3	9	chr15_47421149_47425862:M14,MALME-3M,MDA-MB-435,PC-3,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_47428168_47436425:HS_578T,M14,MALME-3M,MDA-MB-435,PC-3,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr15_47436666_47440512:HS_578T,M14,MALME-3M,MDA-MB-435,NCI-H460,PC-3,SK-MEL-2,SK-MEL-28,UACC-257	0	0	none
chr15_47875007_47885397	yes	2	5	chr15_47874897_47879411:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr15_47883328_47886431:NCI-H460,SK-MEL-2,SK-MEL-28,SN12C,UACC-257	0	0	none
chr15_47982223_48007463	yes	5	8	chr15_47982050_47983349:MALME-3M,SK-MEL-28|chr15_47986375_47988827:M14,MALME-3M,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257|chr15_47988999_47992643:M14,MALME-3M,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_48001573_48003346:MOLT-4,NCI-H460,RPMI-8226|chr15_48004383_48007776:MALME-3M,OVCAR-3,OVCAR-4,SK-MEL-2,SK-MEL-28,SK-MEL-5,U251,UACC-257	0	0	none
chr15_48046694_48063532	yes	5	7	chr15_48046471_48048247:M14,MALME-3M,NCI-H322M,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-19,SW-620,U251,UACC-257,UACC-62|chr15_48051972_48053134:SNB-19,SW-620,U251|chr15_48058023_48059399:MOLT-4|chr15_48059524_48060106:OVCAR-3,SNB-19,U251|chr15_48061657_48063701:MALME-3M,OVCAR-5,RPMI-8226,SNB-19,SW-620,U251,UACC-62	0	0	none
chr15_48084557_48127360	yes	3	8	chr15_48094578_48099635:HS_578T,M14,MALME-3M,MDA-MB-435,NCI-H226,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,U251,UACC-257,UACC-62|chr15_48102220_48112320:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr15_48118931_48123249:LOX_IMVI,M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257	0	0	none
chr15_48142567_48158766	yes	1	1	chr15_48154319_48156223:LOX_IMVI	0	0	none
chr15_48330746_48332879	no	0	0	none	0	0	none
chr15_48536725_48646722	yes	6	2	chr15_48553183_48556762:HS_578T,LOX_IMVI,NCI-H460,SF-268,SF-539|chr15_48590497_48594357:EKVX,HOP-62,HS_578T,NCI-H226,NCI-H460,SF-539,SNB-19,SR,TK-10,U251|chr15_48595513_48598444:SK-MEL-5,SR,UACC-257|chr15_48626096_48629417:BT-549,HOP-92,HS_578T,SF-268,SF-539,SNB-19,SR,U251|chr15_48629696_48632096:SR|chr15_48636822_48637927:HS_578T,SNB-75	0	0	none
chr15_48666721_48703848	yes	4	11	chr15_48667293_48669116:HOP-62,HS_578T,PC-3,SF-268,SF-539|chr15_48670063_48673471:HS_578T,PC-3,RXF_393,SF-268,SK-OV-3,SR|chr15_48674401_48676043:HS_578T|chr15_48692804_48696806:A498,EKVX,HOP-62,HS_578T,LOX_IMVI,NCI-H226,RXF_393,SF-268,SF-295,SF-539,UO-31	0	0	none
chr15_48857975_48899393	yes	1	11	chr15_48862050_48863156:CCRF-CEM,M14,MALME-3M,MDA-MB-435,NCI-H460,SF-539,SK-MEL-2,SK-MEL-5,SR,UACC-257,UACC-62	1	3	chr15_48876968_48880589:HT29,NCI-H322M,OVCAR-5
chr15_48924854_48985376	yes	1	9	chr15_48981229_48984465:M14,MALME-3M,MDA-MB-435,RPMI-8226,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257	0	0	none
chr15_49145229_49181711	yes	1	9	chr15_49178401_49181711:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	1	2	chr15_49169278_49173490:HS_578T,MDA-MB-231
chr15_49234888_49289935	yes	7	7	chr15_49235392_49236460:NCI-H460,PC-3,RPMI-8226,SF-539,SNB-75,SR,UACC-62|chr15_49236626_49244842:HOP-62,HOP-92,HS_578T,LOX_IMVI,MALME-3M,NCI-H460,SF-539,SK-MEL-5,SN12C,SNB-75,UACC-62|chr15_49247067_49248784:HS_578T,SF-539|chr15_49270200_49272277:HOP-62,HS_578T,NCI-H226,SF-539,SNB-75|chr15_49273561_49277135:MDA-MB-435,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_49280925_49282455:HOP-62,HS_578T,NCI-H226,SF-268,SF-539,SK-MEL-28,SNB-75|chr15_49282595_49284443:HOP-62,HS_578T,NCI-H226,SF-268,SF-539,SK-MEL-28,SNB-75	0	0	none
chr15_49618021_49638749	no	0	0	none	0	0	none
chr15_49845964_49879243	yes	5	3	chr15_49851793_49854113:M14,MALME-3M,MDA-MB-435,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75|chr15_49854166_49862059:A549,EKVX,HOP-62,NCI-H226,NCI-H460,SF-539|chr15_49862597_49867191:A549,EKVX,HS_578T,HT29,MDA-MB-468,NCI-H460,OVCAR-5,PC-3,SF-539,SNB-75|chr15_49870700_49872369:SF-539|chr15_49877055_49879243:MDA-MB-468,SF-539,SNB-75	0	0	none
chr15_49894706_49903982	yes	2	1	chr15_49894706_49896056:MDA-MB-435,SK-MEL-2,SK-MEL-28,SNB-19,SNB-75,U251,UACC-257|chr15_49896191_49896531:U251	0	0	none
chr15_50050057_50180634	yes	5	3	chr15_50056797_50061487:HL-60,MDA-MB-468,OVCAR-3,SF-539,SR|chr15_50062714_50068949:A498,HL-60,SF-539,SR|chr15_50103686_50109975:HL-60,MOLT-4,SR|chr15_50110214_50117560:HL-60,SR|chr15_50117803_50120394:HL-60,SN12C,SR	0	0	none
chr15_50240764_50263588	yes	3	7	chr15_50240764_50243012:SR|chr15_50246710_50252629:A498,HL-60,MOLT-4,NCI-H322M,SR|chr15_50254597_50263588:A549,HOP-62,HOP-92,K-562,NCI-H460,OVCAR-5,SR	0	0	none
chr15_50352504_50357383	no	0	0	none	0	0	none
chr15_50423387_50425969	no	0	0	none	1	1	chr15_50423162_50426944:MDA-MB-231
chr15_50876308_50886429	no	0	0	none	1	8	chr15_50883265_50887895:COLO_205,HCC-2998,HCT-116,HT29,KM12,NCI-H322M,NCI-H522,SW-620
chr15_50907345_50912295	no	0	0	none	0	0	none
chr15_51341063_51381712	yes	2	3	chr15_51347994_51350233:MDA-MB-435,PC-3,SF-295,SF-539,SK-MEL-2,SK-MEL-5,SNB-19,UACC-62|chr15_51374249_51379821:HOP-62,PC-3,SF-295	0	0	none
chr15_51758475_51767430	yes	3	9	chr15_51758475_51759462:MDA-MB-435,NCI-H226,SK-MEL-28,SK-MEL-5|chr15_51759861_51761042:HOP-92,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75|chr15_51764383_51767430:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	0	0	none
chr15_51826130_51907617	yes	2	8	chr15_51853798_51858643:A549,NCI-H226,NCI-H322M,SNB-19,U251|chr15_51886037_51889933:A549,DU-145,NCI_ADR-RES,NCI-H226,NCI-H460,OVCAR-5,SK-OV-3,SR	1	8	chr15_51861083_51885185:CCRF-CEM,HL-60,MCF7,MOLT-4,NCI-H23,RPMI-8226,SR,T-47D
chr15_51970496_52055439	yes	2	10	chr15_51992472_51996430:A549,CAKI-1,COLO_205,DU-145,HT29,NCI-H460,OVCAR-5,PC-3,SF-539|chr15_52045185_52048035:CCRF-CEM,M14,MDA-MB-435,MOLT-4,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62	1	1	chr15_51969313_51973084:MDA-MB-231
chr15_52076421_52118148	no	0	0	none	0	0	none
chr15_52133172_52140461	yes	1	8	chr15_52133172_52140759:A498,HCC-2998,HL-60,HOP-92,NCI-H226,NCI-H460,PC-3,SF-539	0	0	none
chr15_52249721_52263948	yes	1	8	chr15_52256532_52258759:COLO_205,KM12,MDA-MB-468,OVCAR-3,OVCAR-5,RPMI-8226,RXF_393,SR	0	0	none
chr15_52283729_52296702	yes	1	9	chr15_52283544_52286208:KM12,NCI-H322M,OVCAR-3,OVCAR-4,OVCAR-5,PC-3,RPMI-8226,SK-OV-3,SNB-19	0	0	none
chr15_52334858_52363540	yes	3	7	chr15_52334583_52335542:A549,HCT-15,HOP-62,HS_578T,NCI-H460,PC-3,SF-268,SK-MEL-28,T-47D,UACC-62|chr15_52346006_52350122:M14,MALME-3M,MDA-MB-435,SF-268,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62|chr15_52360235_52363540:M14,MDA-MB-435,MDA-MB-468,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-62	0	0	none
chr15_52453130_52529976	yes	1	5	chr15_52461159_52468922:CCRF-CEM,LOX_IMVI,RPMI-8226,SR,UACC-62	0	0	none
chr15_52553847_52569619	no	0	0	none	0	0	none
chr15_53196878_53249735	yes	6	11	chr15_53196878_53198343:MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-75,UACC-257,UACC-62|chr15_53201368_53205238:RPMI-8226,SK-MEL-5,UACC-257|chr15_53215163_53217778:M14,MALME-3M,MDA-MB-435,SK-MEL-28,SK-MEL-5,UACC-257|chr15_53223130_53227845:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SNB-19,SNB-75,U251,UACC-257,UACC-62|chr15_53227816_53228210:MDA-MB-435,SNB-75|chr15_53245555_53249047:M14,MALME-3M,MDA-MB-435,SK-MEL-2,SK-MEL-28,SK-MEL-5,SNB-19,SNB-75,U251,UACC-257,UACC-62	0	0	none
chr15_53511960_53552128	yes	2	11	chr15_53518784_53524135:MDA-MB-435,PC-3,SK-MEL-5,SNB-75,U251|chr15_53547326_53552565:COLO_205,HT29,KM12,MCF7,MDA-MB-435,NCI-H322M,OVCAR-5,PC-3,SK-MEL-2,SK-MEL-28,SW-620	0	0	none
